image,object,center_x,center_y,area,drone_lat,drone_lon,heading,object_lat,object_lon,north_offset_m,east_offset_m
33,3,2480.0,1939.0,2265.5,55.4761369,10.3284265,131.0,55.47612797510907,10.328326096725489,-0.9935143131225055,-6.334468464206031
33,4,2021.0,1799.5,2018.5,55.4761369,10.3284265,131.0,55.47614134712625,10.328363716676296,0.49505182950146187,-3.9610160726393495
33,5,1039.0,1615.5,2123.5,55.4761369,10.3284265,131.0,55.476173894832506,10.328436206482115,4.1182459167373935,0.612384458061912
33,6,568.5,1286.0,2689.0,55.4761369,10.3284265,131.0,55.47618118276864,10.32848779826798,4.929535256201256,3.867323524230785
33,7,1512.5,1802.5,1899310.0,55.4761369,10.3284265,131.0,55.476161583563695,10.328394387602254,2.7477617415021283,-2.0259794496334824
33,8,59.5,77.0,2208.5,55.4761369,10.3284265,131.0,55.476159724490216,10.328603170234505,2.5408106282590444,11.146170625184503
33,9,2682.0,209.0,138166.0,55.4761369,10.3284265,131.0,55.476060434273904,10.328434687851344,-8.512125692416596,0.5165736513811581
34,0,663.0,2436.5,2067.5,55.4761403,10.3284301,179.0,55.476204374911234,10.328518577152696,7.132786491445779,5.5820458837462645
34,1,3173.5,2278.0,2687.5,55.4761403,10.3284301,179.0,55.47619376244501,10.328286482148517,5.951412155354145,-9.06088648070943
34,2,1006.5,2147.0,3758.5,55.4761403,10.3284301,179.0,55.476188875085334,10.328487253327465,5.407353764789324,3.605817847870123
34,3,1616.5,1939.5,8098.5,55.4761403,10.3284301,179.0,55.47617743245403,10.328431132001656,4.13356587510663,0.0651092447656954
34,4,2692.0,1071.5,2365.0,55.4761403,10.3284301,179.0,55.47613091800198,10.328332994891403,-1.0443992420045982,-6.126385798176623
34,5,1994.0,1733.5,1787086.5,55.4761403,10.3284301,179.0,55.47616628137584,10.328396526524468,2.8922335286940504,-2.118159040935775
34,6,2835.5,985.0,2732.5,55.4761403,10.3284301,179.0,55.47612624937771,10.328319853461863,-1.5641081183805017,-6.955481902989626
34,7,604.0,365.5,129704.0,55.4761403,10.3284301,179.0,55.47609579747847,10.328527383395734,-4.953998035138485,6.1376339785819765
35,0,1147.5,2442.5,3996.5,55.4761224,10.3284666,154.0,55.47619080406622,10.32845845493436,7.61470581977837,-0.5138744794532957
35,1,2861.5,2427.5,5320.0,55.4761224,10.3284666,154.0,55.476150678798874,10.328316462994408,3.1479814910391295,-9.472185859878122
35,2,1504.0,2423.5,4888.5,55.4761224,10.3284666,154.0,55.47618170950989,10.328429565990398,6.602304439632029,-2.3364860696385934
35,3,1575.5,2388.5,2836.0,55.4761224,10.3284666,154.0,55.476178414850914,10.328425037600677,6.235544680515232,-2.622183449207586
35,4,2496.0,2400.0,5571.5,55.4761224,10.3284666,154.0,55.47615778775752,10.328347987600809,3.9393471474477044,-7.483289585997298
35,5,2294.5,2353.0,2434.0,55.4761224,10.3284666,154.0,55.476160205632766,10.328366659082011,4.208503788315025,-6.305300591703625
35,6,2701.5,2357.5,3285.0,55.4761224,10.3284666,154.0,55.476151057771084,10.328332615074677,3.190168484471745,-8.453146578208806
35,7,2379.0,2295.0,9732.0,55.4761224,10.3284666,154.0,55.47615552750399,10.328361982421727,3.687736875435096,-6.600352402830942
35,8,3186.0,2299.5,13315.5,55.4761224,10.3284666,154.0,55.47613718057941,10.328294659391675,1.6453665726925322,-10.847781281490976
35,9,2346.0,2209.5,2337.0,55.4761224,10.3284666,154.0,55.47615225491486,10.32836819737376,3.3234339196461877,-6.208249333213444
35,10,2082.0,2312.0,30618.5,55.4761224,10.3284666,154.0,55.47616315939535,10.32838600226738,4.537315135034397,-5.084933592859183
35,11,2561.5,2124.0,2914.5,55.4761224,10.3284666,154.0,55.47614326740789,10.328353737732927,2.3229492207910987,-7.120512135347149
35,12,2711.0,2179.0,14534.0,55.4761224,10.3284666,154.0,55.47614242262831,10.328339067899401,2.2289087876237828,-8.046036053638677
35,13,2855.0,2056.0,2817.5,55.4761224,10.3284666,154.0,55.4761333112469,10.32833207856487,1.2146344486824225,-8.486995132652895
35,14,3102.5,2062.0,46919.5,55.4761224,10.3284666,154.0,55.47612790223984,10.328311243700606,0.6125065364958133,-9.801472572157202
35,15,1003.0,1567.0,2230.0,55.4761224,10.3284666,154.0,55.47615284548968,10.328506003160166,3.3891764079268007,2.4859564441784547
35,16,596.0,267.5,2283.5,55.4761224,10.3284666,154.0,55.47610093127171,10.328592595884363,-2.3898879015812597,7.949115739620069
35,17,1249.0,305.0,3865.5,55.4761224,10.3284666,154.0,55.47608768200845,10.328536746198784,-3.864789141144824,4.425543387030461
35,18,1207.0,37.5,2193.5,55.4761224,10.3284666,154.0,55.47607603470055,10.3285510951539,-5.1613615253889575,5.330822996220618
35,19,1019.0,305.5,214341.0,55.4761224,10.3284666,154.0,55.47609299504571,10.328555861347768,-3.273344538162542,5.631523506270879
36,0,34.5,2345.0,5276.0,55.4760889,10.3285191,133.0,55.47619032154594,10.328545106486148,11.290194849362972,1.6407579115207138
36,1,94.5,2073.5,4368.5,55.4760889,10.3285191,133.0,55.47617830554005,10.328559698783943,9.95257919253492,2.561390861294106
36,2,468.5,897.5,2437.5,55.4760889,10.3285191,133.0,55.47612188011919,10.328615701445734,3.6713300744347626,6.094617529308203
36,3,1640.0,1360.5,834688.0,55.4760889,10.3285191,133.0,55.47609349756729,10.328510400774107,0.5117988493253013,-0.5488370718430904
41,0,622.5,1670.5,2105.0,55.4759376,10.3288017,133.0,55.47599232840922,10.328836248595916,6.092338646143884,2.1796908419089416
41,1,287.0,1604.0,15181.5,55.4759376,10.3288017,133.0,55.4760028215856,10.328861930427248,7.2604336976864845,3.7999723923074162
41,2,1593.0,1823.0,564098.5,55.4759376,10.3288017,133.0,55.4759605485274,10.328764657566234,2.5546183838745393,-2.337028510046516
41,3,1640.0,1518.0,260336.5,55.4759376,10.3288017,133.0,55.47594783271786,10.328782338373117,1.1391009409107873,-1.2215362065924034
